,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO
,$,ab_p,entao,escreva,fc_p,fim,fimrepita,fimse,id,inicio,inteiro,leia,lit,literal,num,opm,opr,pt_v,rcb,real,repita,se,varfim,varincio,vir,S',P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR
15,ERR,ERR,ERR,['s12'],ERR,ERR,['s44'],ERR,['s13'],ERR,ERR,['s11'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s16'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['41'],ERR,['42'],ERR,ERR,['43'],['14'],ERR,ERR,ERR,ERR,['40']
16,ERR,['s45'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
17,ERR,['s46'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
18,['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],['r2'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
19,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s22'],ERR,ERR,['s24'],ERR,ERR,ERR,ERR,ERR,['s23'],ERR,ERR,['s20'],ERR,ERR,ERR,ERR,ERR,['47'],['19'],ERR,['21'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
20,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s48'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
21,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s50'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['49'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
22,['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],['r8'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
23,['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],['r9'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
24,['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],['r10'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
